Event_Type,Time,Source_Node,Destination_Node,Protocol,Packet_Size,Flags,Flow_ID,Source_Address,Destination_Address,Sequence_Number,Packet_ID
r,1.55016,0,1,tcp,1040,-------,0,0.0,1.0,61,104
+,1.55016,1,0,ack,40,-------,0,1.0,0.0,61,141
-,1.55016,1,0,ack,40,-------,0,1.0,0.0,61,141
r,1.55216,1,0,ack,40,-------,0,1.0,0.0,60,139
+,1.55216,0,1,tcp,1040,-------,0,0.0,1.0,80,142
-,1.5568,0,1,tcp,1040,-------,0,0.0,1.0,64,110
r,1.55848,0,1,tcp,1040,-------,0,0.0,1.0,62,106
+,1.55848,1,0,ack,40,-------,0,1.0,0.0,62,143
-,1.55848,1,0,ack,40,-------,0,1.0,0.0,62,143
r,1.56048,1,0,ack,40,-------,0,1.0,0.0,61,141
+,1.56048,0,1,tcp,1040,-------,0,0.0,1.0,81,144
